Settlement Date,Settlement Period,Market Index Data Provider Id,Market Index Volume (MWh),Market Index Price (£/MWh)
05 January 2025,18,APXMIDP ,2720.1,113.02
05 January 2025,18,N2EXMIDP,0,0
05 January 2025,19,APXMIDP ,3165.65,114.84
05 January 2025,19,N2EXMIDP,0,0
05 January 2025,20,APXMIDP ,2957.05,118.36
05 January 2025,20,N2EXMIDP,0,0
05 January 2025,21,APXMIDP ,2858.3,117.48
05 January 2025,21,N2EXMIDP,0,0
05 January 2025,22,APXMIDP ,3263.8,118.28
05 January 2025,22,N2EXMIDP,0,0
05 January 2025,23,APXMIDP ,2699.05,115.49
05 January 2025,23,N2EXMIDP,0,0
05 January 2025,24,APXMIDP ,3025.25,111.95
05 January 2025,24,N2EXMIDP,0,0
05 January 2025,25,APXMIDP ,2590.15,117.55
05 January 2025,25,N2EXMIDP,0,0
05 January 2025,26,APXMIDP ,2465.5,120.25
05 January 2025,26,N2EXMIDP,0,0
05 January 2025,27,APXMIDP ,2179.3,123.42
05 January 2025,27,N2EXMIDP,0,0
05 January 2025,28,APXMIDP ,2079.25,122.48
05 January 2025,28,N2EXMIDP,0,0
05 January 2025,29,APXMIDP ,2569.55,120.1
05 January 2025,29,N2EXMIDP,0,0
05 January 2025,30,APXMIDP ,2516.05,120.18
05 January 2025,30,N2EXMIDP,0,0
05 January 2025,31,APXMIDP ,2304.55,121.3
05 January 2025,31,N2EXMIDP,0,0
05 January 2025,32,APXMIDP ,2217.6,127.39
05 January 2025,32,N2EXMIDP,0,0
05 January 2025,33,APXMIDP ,2681.35,132.96
05 January 2025,33,N2EXMIDP,0,0
05 January 2025,34,APXMIDP ,3040.2,138.31
05 January 2025,34,N2EXMIDP,0,0
05 January 2025,35,APXMIDP ,2823.35,140.74
05 January 2025,35,N2EXMIDP,0,0
05 January 2025,36,APXMIDP ,2900.85,141.27
05 January 2025,36,N2EXMIDP,0,0
05 January 2025,37,APXMIDP ,3141.8,139.74
05 January 2025,37,N2EXMIDP,0,0
05 January 2025,38,APXMIDP ,2913.95,136.44
05 January 2025,38,N2EXMIDP,0,0
05 January 2025,39,APXMIDP ,4101.3,127.82
05 January 2025,39,N2EXMIDP,0,0
05 January 2025,40,APXMIDP ,3876.8,124.34
